region,code,reg_pcn,ctryname,year,surveyid_year,timewp,fieldwork,survname,link,altname,survey_time,wbint_link,wbext_link,alt_link,pip_meta,surv_title,surv_producer,survey_coverage,datatype,use_imputed,use_microdata,use_bin,use_groupdata,rep_year,comparability,comp_note,preferable,display_cp,fieldwork_range,ref_year,newref,ref_year_des,wf_baseprice,wf_baseprice_note,wf_baseprice_des,wf_spatial_des,wf_spatial_var,cpi_replication,cpi_domain,cpi_domain_var,wf_currency_des,ppp_replication,ppp_domain,ppp_domain_var,wf_add_temp_des,wf_add_temp_var,wf_add_spatial_des,wf_add_spatial_var,tosplit,tosplit_var,inpovcal,oth_welfare1_type,oth_welfare1_var,gdp_domain,pce_domain,pop_domain,Note
EAP,AUS,OHI,Australia,1981,1981,,,HIS-LIS,AUS_1981_HIS-LIS,,1981,,,,0,Income and Housing Survey,Australian Bureau of Statistics (ABS),N,I,0,0,1,0,1981,0,,,1,,1981,,,1981,,-8,-9,,1,1,,0,1,1,,0,,0,,,,1,,,1,1,1,povcalnet
EAP,AUS,OHI,Australia,1985,1985,,,IDS-LIS,AUS_1985_IDS-LIS,,1985,,,,0,Income Distribution Survey,Australian Bureau of Statistics (ABS),N,I,0,0,1,0,1985,1,,,1,,1985,,,1985,,-8,-9,,1,1,,0,1,1,,0,,0,,,,1,,,1,1,1,povcalnet
EAP,AUS,OHI,Australia,1989,1989,,,SIH-LIS,AUS_1989_SIH-LIS,,1989,,,,0,Survey of Income and Housing Costs and Amenities,Australian Bureau of Statistics (ABS),N,I,0,0,1,0,1989,2,,,1,,1989,,,1989,,-8,-9,,1,1,,0,1,1,,0,,0,,,,1,,,1,1,1,povcalnet
EAP,AUS,OHI,Australia,1995,1995,,,SIH-LIS,AUS_1995_SIH-LIS,,1995,,,,0,Survey of Income and Housing Costs and Amenities,Australian Bureau of Statistics (ABS),N,I,0,0,1,0,1995,2,,,1,,1995,,,1995,,-8,-9,,1,1,,0,1,1,,0,,0,,,,1,,,1,1,1,povcalnet
EAP,AUS,OHI,Australia,2001,2001,,,SIH-LIS,AUS_2001_SIH-LIS,,2001,,,,0,Survey of Income and Housing Costs and Amenities,Australian Bureau of Statistics (ABS),N,I,0,0,1,0,2001,2,,,1,,2001,,,2001,,-8,-9,,1,1,,0,1,1,,0,,0,,,,1,,,1,1,1,povcalnet
EAP,AUS,OHI,Australia,2003,2003,,,SIH-LIS,AUS_2003_SIH-LIS,,2003,,,,0,Survey of Income and Housing Costs and Amenities,Australian Bureau of Statistics (ABS),N,I,0,0,1,0,2003,2,,,1,,2003,,,2003,,-8,-9,,1,1,,0,1,1,,0,,0,,,,1,,,1,1,1,povcalnet
EAP,AUS,OHI,Australia,2004,2004,,,SIH-HES-LIS,AUS_2004_SIH-HES-LIS,,2004,,,,0,Survey of Income and Housing (SIH) and Household Expenditure Survey (HES),Australian Bureau of Statistics (ABS),N,I,0,0,1,0,2004,3,,,1,,2004,,,2004,,-8,-9,,1,1,,0,1,1,,0,,0,,,,1,,,1,1,1,povcalnet
EAP,AUS,OHI,Australia,2008,2008,,,SIH-LIS,AUS_2008_SIH-LIS,,2008,,,,0,Survey of Income and Housing Costs and Amenities,Australian Bureau of Statistics (ABS),N,I,0,0,1,0,2008,2,,,1,,2008,,,2008,,-8,-9,,1,1,,0,1,1,,0,,0,,,,1,,,1,1,1,povcalnet
EAP,AUS,OHI,Australia,2010,2010,,,SIH-HES-LIS,AUS_2010_SIH-HES-LIS,,2010,,,,0,Survey of Income and Housing (SIH) and Household Expenditure Survey (HES),Australian Bureau of Statistics (ABS),N,I,0,0,1,0,2010,3,,,1,,2010,,,2010,,-8,-9,,1,1,,0,1,1,,0,,0,,,,1,,,1,1,1,povcalnet
EAP,AUS,OHI,Australia,2014,2014,,,SIH-LIS,AUS_2014_SIH-LIS,,2014,,,,0,Survey of Income and Housing Costs and Amenities,Australian Bureau of Statistics (ABS),N,I,0,0,1,0,2014,2,,,1,,2014,,,2014,,-8,-9,,1,1,,0,1,1,,0,,0,,,,1,,,1,1,1,povcalnet
EAP,AUS,OHI,Australia,2016,2016,,,SIH-LIS,AUS_2016_SIH-LIS,,2016,,,,0,Survey of Income and Housing Costs and Amenities,Australian Bureau of Statistics (ABS),N,I,0,0,1,0,2016,2,,,1,,2016,x,,2016,,-8,-9,,1,1,,0,1,1,,0,,0,,,,1,,,1,1,1,Nov 15 2021
EAP,AUS,OHI,Australia,2018,2018,,,SIH-LIS,AUS_2018_SIH-LIS,,2018,,,,0,Survey of Income and Housing Costs and Amenities,Australian Bureau of Statistics (ABS),N,I,0,0,1,0,2018,2,,,1,,2018,x,,2018,,-8,-9,,1,1,,0,1,1,,0,,0,,,,1,,,1,1,1,Nov 15 2021
EAP,CHN,EAP,China,1981,1981,,,CRHS-CUHS,CHN_1981_CRHS-CUHS,,1981,4935,,,0,China Urban/Rural Household Survey,National Bureau of Statistics,N,I,0,0,0,1,1981,0,,,0,,1981,,,1981,,-8,-9,,1,2,urban,0,1,2,urban,0,,0,,1,urban,1,,,2,2,2,povcalnet
EAP,CHN,EAP,China,1984,1984,,,CRHS-CUHS,CHN_1984_CRHS-CUHS,,1984,4936,,,0,China Urban/Rural Household Survey,National Bureau of Statistics,N,I,0,0,0,1,1984,0,,,0,,1984,,,1984,,-8,-9,,1,2,urban,0,1,2,urban,0,,0,,1,urban,1,,,2,2,2,povcalnet
